Applicant ID,School Name,GPA,Degree,Location,Gender,Veteran status,Work authorization,Disability,Ethnicity,Role 1,Start 1,End 1,Role 2,Start 2,End 2,Role 3,Start 3,End 3,Resume score
13,University of Wolverhampton,1.64,Masters,Chicago,F,1,0,1,3,Risk Analyst,10/20,N/A,Operational Risk Analyst,2/9,10/11,Financial Data Analyst,1/22,5/23,9.15
14,University of Chicago,2.95,Bachelors,Poole,F,0,0,N/A,3,Econometrician,4/3,5/12,Banking Analytics Consultant,6/7,10/8,N/A,N/A,N/A,9.05
15,University of the West of England,3.25,Masters,Jacksonville,N/A,0,1,0,0,Financial Controller,7/11,N/A,Asset Management Data Scientist,1/9,12/9,Financial Market Data Scientist,9/23,12/24,4.21
16,University of Idaho,3.29,Phd,Brighton,F,N/A,1,0,3,Fixed Income Research Analyst,7/6,5/16,Equity Research Analyst,12/9,6/18,N/A,N/A,N/A,4.03
17,Bournemouth University,1.35,Phd,Los Angeles,N/A,N/A,1,N/A,0,Credit Analyst,2/15,5/18,Counterparty Credit Risk Analyst,8/14,9/22,Mutual Fund Analyst,2/9,3/17,7.59
18,Texas Tech University,2.52,Masters,Bristol,M,0,1,1,0,Mortgage Risk Analyst,3/19,N/A,Financial Controller,3/16,10/22,Algorithmic Market Maker,6/15,3/18,9.21
19,Stevens Institute of Technology,3.77,Bachelors,Washington DC,N/A,1,1,1,3,Fixed Income Analyst,9/6,12/6,Market Research Scientist,7/5,10/10,Corporate Finance Analyst,12/14,8/20,0.96
20,Tulane University,0.16,Phd,Durham,N/A,0,1,N/A,0,Market Research Scientist,6/5,2/21,Market Research Scientist,2/5,1/22,N/A,N/A,N/A,8.29
21,University of Rochester,3.47,Masters,Pittsburgh,M,0,1,0,0,Churn Prediction Specialist,5/12,4/23,Financial Data Analyst,9/8,12/15,N/A,N/A,N/A,4.85
22,Michigan State University,2.6,Masters,Cambridge,F,1,0,1,3,Equity Research Analyst,11/13,9/19,Regulatory Capital Analyst,11/10,8/23,Model Development Analyst,10/20,5/21,9.93
23,Colorado School of Mines,1.12,Bachelors,Kensington,F,N/A,1,1,2,Environmental Social and Governance Analyst,7/19,8/23,Financial Planning and Analysis Analyst,1/4,1/23,Quantitative Risk Analyst,10/5,3/17,0.66
24,New Jersey Institute of Technology,2.37,Phd,Lincoln,F,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.97
25,Washington University in St Louis,2.43,Bachelors,Arlington,M,1,1,N/A,2,Capital Markets Data Scientist,3/8,6/14,Portfolio Manager,4/18,3/19,N/A,N/A,N/A,4.69
26,Liverpool John Moores University,4.59,Masters,Bethlehem,N/A,N/A,1,N/A,0,Budget Analyst,10/8,2/24,Enterprise Risk Management Analyst,3/17,8/22,N/A,N/A,N/A,9.3
27,Keele University,1.91,Phd,Morgantown,N/A,0,1,N/A,4,Market Microstructure Analyst,5/12,N/A,Quantitative Trading Analyst,7/24,9/24,Financial Engineering Specialist,10/13,7/15,0.71
28,Harvard University,2.47,Bachelors,Stoke on Trent,N/A,N/A,0,0,2,Insurance Analyst,12/21,N/A,Regulatory Capital Analyst,2/20,12/24,Churn Prediction Specialist,12/10,3/14,6.92
29,University of Bradford,2.66,Bachelors,Worcester,F,1,0,0,0,Financial Market Data Scientist,2/23,9/23,Operational Risk Analyst,11/19,6/20,Financial Controller,6/23,4/24,9.2
30,University of Rhode Island,1.63,Phd,Newcastle ,N/A,N/A,0,0,0,Credit Scoring Specialist,6/21,8/22,Asset Management Data Scientist,12/8,3/23,International Finance Analyst,1/14,11/17,0.67
31,St Georges University of London,4.81,Masters,Leeds,M,N/A,0,N/A,0,Regulatory Compliance Analyst,4/11,8/19,Corporate Finance Analyst,5/18,12/18,Commercial Banking Analyst,2/12,1/15,7.79
32,University of Bath,1.53,Masters,Cambridge,N/A,N/A,1,N/A,3,Pricing Analyst,11/16,9/23,Financial Modelling Analyst,4/12,7/22,Portfolio Manager,11/14,7/17,0.58
33,Louisiana Tech University,4.05,Bachelors,Coventry,M,N/A,0,N/A,4,Investment Portfolio Analyst,11/4,N/A,Model Risk Management Specialist,6/18,11/24,N/A,N/A,N/A,0.6
34,Queens University Belfast,4.17,Phd,Cincinnati,N/A,1,0,1,3,Algorithmic Trade Surveillance Analyst,11/19,12/24,Product Pricing Analyst,5/4,6/24,N/A,N/A,N/A,8.46
35,University of Westminster,2.5,Phd,Coleraine,F,0,0,0,1,Environmental Social and Governance Analyst,11/18,3/22,Operational Risk Analyst,1/12,3/15,Market Research Analyst,8/10,2/19,7.88
36,University of Georgia,3.84,Phd,Greensboro,F,N/A,0,0,2,Market Microstructure Analyst,11/20,N/A,Stress Testing Modeler,8/24,8/24,Actuarial Analyst,11/24,12/24,3.26
37,University of California Riverside,1.11,Phd,Manchester,M,0,0,1,4,Product Pricing Analyst,6/24,10/24,N/A,N/A,N/A,N/A,N/A,N/A,2.61
38,University of Arkansas,4.89,Phd,Ann Arbor,N/A,1,1,N/A,3,Banking Analytics Consultant,11/15,11/18,Equity Derivatives Analyst,10/7,6/11,N/A,N/A,N/A,0.16
39,University of Chester,2.12,Phd,Moscow,N/A,1,1,0,4,Equity Research Analyst,12/2,7/14,Machine Learning Model Auditor,2/22,6/22,Algorithm Developer,6/11,1/17,3.44
40,Binghamton University State University of New York,4.8,Bachelors,Oxford,M,N/A,0,1,0,Mutual Fund Analyst,11/18,7/20,N/A,N/A,N/A,N/A,N/A,N/A,1.2
41,UCL,4.76,Phd,San Diego,F,N/A,1,1,1,Market Research Scientist,6/14,11/22,Banking Technology Consultant,1/5,8/16,Machine Learning Model Validator,12/18,4/23,4.73
42,University of Dundee,1.47,Bachelors,Buffalo,F,N/A,0,1,4,Public Finance Analyst,7/18,5/23,Mergers and Acquisitions Analyst,2/5,4/20,Corporate Finance Analyst,3/21,8/24,2.32
43,University of Denver,2.73,Phd,Arlington,N/A,0,1,1,4,Public Finance Analyst,4/23,1/24,Capital Markets Data Scientist,1/19,10/23,N/A,N/A,N/A,7.99
44,University of Hawaii ,3.77,Masters,Los Angeles,N/A,0,0,0,0,Mortgage Risk Analyst,10/6,9/7,Quantitative Risk Analyst,7/19,10/21,Sales Analyst,7/5,11/5,2.18
45,Royal Holloway University of London,0.44,Bachelors,Santa Cruz,N/A,1,1,1,1,Derivatives Analyst,11/4,10/15,N/A,N/A,N/A,N/A,N/A,N/A,8.62
46,Emory University,3.52,Bachelors,Denver,N/A,0,1,0,2,Algorithmic Audit Specialist,3/15,2/19,Model Risk Management Specialist,11/14,5/19,N/A,N/A,N/A,1.97
47,Royal Holloway University of London,0.5,Bachelors,Socorro,N/A,0,1,N/A,3,Equity Research Analyst,7/8,5/11,Commodity Analyst,6/21,1/23,N/A,N/A,N/A,1.65
48,University of Manchester,4.64,Bachelors,Boston,F,0,1,N/A,1,Data Visualization Specialist,3/22,4/24,Market Research Scientist,1/22,12/23,Credit Loss Forecasting Analyst,6/19,12/22,9.35
49,Iowa State University,1.14,Phd,Kingston upon Thames,N/A,0,0,1,4,Model Risk Management Specialist,2/10,7/10,N/A,N/A,N/A,N/A,N/A,N/A,4.45
50,Drexel University,0.25,Bachelors,Greensboro,N/A,0,1,1,2,Fixed Income Analyst,3/6,9/6,N/A,N/A,N/A,N/A,N/A,N/A,8.06
51,Louisiana State University,3.29,Bachelors,San Antonio,N/A,N/A,1,0,3,Investment Operations Analyst,8/20,12/21,Risk Modeling Analyst,2/24,4/24,N/A,N/A,N/A,3.14
52,University of Maryland College Park,2.37,Masters,Medford,M,0,0,N/A,4,Data Mining Engineer,4/10,5/21,Basel II Analyst,10/4,4/14,Risk Appetite Analyst,12/11,11/19,8.19
53,Florida Institute of Technology,4.59,Masters,Portsmouth,M,0,1,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.49
54,University of Strathclyde,0.32,Phd,Atlanta,M,0,1,N/A,3,Forensic Accountant,4/5,8/22,N/A,N/A,N/A,N/A,N/A,N/A,2.04
55,University of California Los Angeles,0.83,Masters,Barnet,N/A,1,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.62
56,University of Alabama,4.96,Masters,Kensington,N/A,0,0,N/A,2,Quantitative Risk Analyst,7/16,11/24,Robo Advisory Data Scientist,12/10,12/13,Machine Learning Engineer,11/17,7/21,2.9
57,Georgia State University,3.17,Phd,Uxbridge,N/A,1,1,N/A,3,Fixed Income Analyst,2/21,11/24,Quantitative Trading Analyst,10/7,3/20,N/A,N/A,N/A,7.26
58,University of Georgia,2.45,Phd,Bath,N/A,N/A,0,0,0,Corporate Finance Analyst,3/21,2/23,Real Estate Investment Analyst,1/4,8/21,Corporate Finance Analyst,10/20,10/21,7.84
59,University of Texas at Dallas,4.82,Bachelors,Barnet,M,0,0,N/A,1,Credit Risk Analyst,6/6,10/9,N/A,N/A,N/A,N/A,N/A,N/A,7.24
60,Kingston University,2.21,Masters,Birmingham,F,0,0,N/A,2,Financial Forecasting Analyst,8/4,3/8,Mortgage Risk Analyst,3/24,7/24,Customer Segmentation Specialist,6/19,2/21,7.04
61,Texas AandM University,4.9,Phd,Canterbury,N/A,1,1,1,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.22
62,Duke University,3.82,Bachelors,Greensboro,F,0,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.39
63,The University of Tennessee Knoxville,3.71,Masters,Rochester,N/A,0,0,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.67
64,Auburn University,2.23,Bachelors,Coventry,F,0,1,N/A,4,Basel III Implementation Specialist,11/6,8/21,Risk Analyst,7/10,11/14,Algorithmic Market Analyst,5/5,10/12,7.08
65,Virginia Polytechnic Institute and State University,1.93,Phd,Columbus,F,0,1,0,4,Model Development Analyst,5/24,11/24,Financial Advisor,10/6,7/24,Banking Technology Consultant,9/19,12/21,2.37
66,Durham University,1.21,Masters,East Lansing,F,1,1,0,2,Retail Banking Analyst,9/5,12/7,Counterparty Credit Risk Analyst,8/21,2/22,N/A,N/A,N/A,1.6
67,University of Hertfordshire,3.39,Phd,Socorro,F,0,0,N/A,2,Model Governance Analyst,12/2,2/8,Algorithmic Liquidity Manager,2/17,9/20,Fixed Income Research Analyst,3/9,6/13,2.05
68,Old Dominion University,3.87,Bachelors,Rochester,N/A,1,0,0,4,Liquidity Stress Testing Analyst,2/9,9/14,Machine Learning Model Validator,1/23,11/23,Quantitative Risk Analyst,6/17,9/21,9.27
69,Ohio State University,3.36,Bachelors,San Marcos,M,N/A,1,0,1,High Frequency Trading Strategist,2/2,N/A,Market Research Analyst,2/19,10/24,Banking Fraud Investigator,7/21,10/21,4.22
70,University of Delaware,2.71,Phd,St. Louis,M,1,0,1,0,Credit Risk Analyst,3/22,N/A,Algorithmic Liquidity Manager,12/18,3/23,Hedge Fund Analyst,6/21,12/24,9.58
71,University of Oregon,2.76,Phd,Milwaukee,M,0,1,N/A,0,Credit Risk Analyst,4/2,5/5,Algorithmic Audit Specialist,7/23,10/24,Counterparty Credit Risk Analyst,6/6,6/7,5.19
72,Texas AandM University,0.55,Bachelors,Egham,M,0,0,N/A,0,Strategic Planning Analyst,4/19,6/20,Market Research Scientist,4/20,7/23,Banking Analytics Consultant,5/5,11/10,8.66
73,Brown University,4.2,Masters,Birmingham,N/A,N/A,0,1,4,Wealth Management Analyst,1/21,9/21,N/A,N/A,N/A,N/A,N/A,N/A,2.75
74,Florida State University,4.12,Masters,Greenwich,M,0,1,0,0,Asset Liability Management Analyst,4/10,7/20,Financial Engineering Specialist,5/7,1/10,Financial Advisor,8/2,4/17,0.28
75,Oregon State University,2,Masters,Williamsburg,F,1,1,1,2,Model Governance Analyst,3/20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.2
76,University of the West of England,4.38,Bachelors,Medford,F,0,1,0,3,Credit Risk Analyst,3/17,12/22,Robo Advisory Data Scientist,4/6,9/16,Algorithmic Compliance Officer,1/11,4/13,2.15
77,University of Exeter,4.27,Phd,Nottingham,N/A,0,0,N/A,2,Data Visualization Specialist,12/13,2/24,Counterparty Credit Risk Analyst,5/17,12/19,Enterprise Risk Management Analyst,9/17,1/23,5.63
78,Louisiana State University,4.35,Phd,Storrs,F,N/A,1,N/A,2,Banking Analytics Consultant,12/7,10/19,Algorithmic Trade Surveillance Analyst,3/4,10/6,Retail Banking Analyst,1/4,12/20,7.8
79,University of Tulsa,3.18,Phd,Preston,F,N/A,1,0,4,Treasury Analyst,11/19,10/21,Basel II Analyst,2/24,11/24,Regulatory Compliance Analyst,2/14,3/14,9.78
80,Cardiff Metropolitan University,3.35,Bachelors,Aberystwyth,F,N/A,0,1,4,Algorithmic Trade Surveillance Analyst,9/15,10/23,Fraud Detection Analyst,1/24,1/24,N/A,N/A,N/A,9.21
81,Massachusetts Institute of Technology,4.27,Bachelors,Milwaukee,M,N/A,0,N/A,1,Asset Management Analyst,11/3,N/A,Hedge Fund Quantitative Analyst,6/7,12/14,Market Research Analyst,8/9,3/12,2.23
82,Lancaster University,4.85,Masters,Williamsburg,M,1,0,0,2,Financial Controller,3/11,9/19,Basel II Analyst,1/24,10/24,Algorithmic Investment Strategist,6/12,12/20,4.02
83,University of Toledo,4.53,Bachelors,Philadelphia,M,1,1,1,3,Tax Analyst,8/21,2/22,Credit Default Swap Analyst,11/7,10/11,Fraud Detection Analyst,5/3,8/17,9.59
84,University of California Santa Cruz,0.25,Phd,Leicester,F,0,1,1,4,Regulatory Stress Testing Analyst,5/7,7/12,N/A,N/A,N/A,N/A,N/A,N/A,1.79
85,Northwestern University,3.79,Masters,Worcester,N/A,N/A,0,1,2,Customer Lifetime Value Analyst,7/7,5/20,Loan Approval Modeler,12/7,11/17,N/A,N/A,N/A,3.9
86,Nottingham Trent University,4.16,Masters,San Marcos,M,N/A,1,N/A,4,Risk Modeling Analyst,11/12,6/13,Financial Data Analyst,5/16,6/19,N/A,N/A,N/A,4.92
87,Kansas State University,4.64,Masters,Buffalo,M,1,0,N/A,3,Venture Capital Analyst,11/9,2/12,Private Equity Analyst,7/4,5/17,Regulatory Reporting Data Scientist,3/18,6/23,0.99
88,Edinburgh Napier University,0.27,Bachelors,Roehampton,M,0,1,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.33
89,University of Toledo,3.28,Bachelors,Bloomington,M,N/A,0,1,3,Market Sentiment Analyst,6/4,7/5,Financial Reporting Analyst,3/5,8/10,Financial Technology Analyst,8/21,11/22,2.75
90,Washington University in St Louis,1.75,Phd,Philadelphia,N/A,0,1,1,0,Churn Prediction Specialist,10/6,10/14,Equity Research Analyst,1/6,2/16,Product Pricing Analyst,1/21,10/22,5.12
91,Texas Tech University,2.62,Phd,Ann Arbor,N/A,N/A,0,N/A,3,Financial Product Analyst,6/23,7/24,Quantitative Investment Analyst,1/14,11/23,Operational Risk Analyst,7/22,9/22,7.16
92,Ohio University ,2.9,Phd,Cambridge,F,N/A,0,1,0,Financial Systems Analyst,5/12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.16
93,London South Bank University,2.45,Bachelors,Cambridge,F,0,1,N/A,2,Marketing Data Scientist,3/11,N/A,Credit Risk Data Scientist,3/21,12/22,Public Finance Analyst,9/12,3/18,8.75
94,Oregon Health and Science University,3.68,Masters,Las Vegas,F,0,1,N/A,3,Financial Modelling Analyst,7/8,N/A,Revenue Analyst,6/13,8/20,N/A,N/A,N/A,1.82
95,Texas State University,0.73,Masters,Brighton,N/A,0,0,N/A,3,Product Pricing Analyst,10/6,7/16,Fraud Detection Analyst,10/23,11/24,Basel II Analyst,2/4,8/14,1.3
96,Loughborough University,1.72,Masters,Plymouth,F,0,1,0,3,Algorithmic Investment Strategist,5/17,10/21,Real Time Transaction Monitoring Analyst,7/22,7/23,Credit Risk Analyst,11/14,11/23,2.59
97,Nova Southeastern University,0.48,Bachelors,Moscow,N/A,1,0,0,0,International Finance Analyst,5/9,8/19,Risk Analyst,4/18,5/18,N/A,N/A,N/A,6.45
98,Brunel University London,0.14,Masters,Brighton,M,N/A,0,N/A,0,Regulatory Capital Analyst,4/10,7/16,Model Risk Management Specialist,10/5,10/14,Algorithmic Market Analyst,8/21,12/21,6.78
99,Oakland University,1.24,Masters,Salford,N/A,1,0,N/A,2,Fixed Income Analyst,11/2,2/10,Corporate Finance Analyst,8/21,11/24,Mortgage Risk Analyst,11/7,5/23,9.77
100,Portland State University,0.17,Bachelors,Aberdeen,F,1,0,N/A,1,Venture Capital Analyst,11/19,7/24,Econometrician,6/14,1/20,Basel II Analyst,12/23,5/24,0.88
101,Dartmouth College,4.32,Bachelors,Wilmington,M,1,0,0,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.94
102,University of Connecticut,0.59,Phd,Norwich,F,1,0,0,0,Tax Analyst,4/5,6/11,Fixed Income Research Analyst,11/2,12/4,N/A,N/A,N/A,9.33
103,Virginia Polytechnic Institute and State University,0.98,Masters,Egham,F,1,0,N/A,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.88
104,Brown University,0.67,Masters,Pittsburgh,M,0,1,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.69
105,Missouri University of Science and Technology,4.64,Masters,Chicago,F,0,0,N/A,4,Actuarial Analyst,7/8,7/21,Quantitative Model Validator,11/5,5/21,Public Finance Analyst,3/17,11/24,2.43
106,University of Missouri Columbia,3.09,Bachelors,East Lansing,M,N/A,1,N/A,1,Retail Banking Analyst,4/10,12/15,Corporate Finance Analyst,5/17,4/20,N/A,N/A,N/A,1.49
107,Oklahoma State University,2.99,Masters,Honolulu,F,1,0,N/A,2,Hedge Fund Quantitative Analyst,5/15,9/24,Investment Portfolio Analyst,6/5,1/14,Enterprise Risk Management Analyst,9/6,9/11,3.88
108,Kingston University,4.67,Phd,Lancaster,M,N/A,0,0,0,Algorithmic Market Maker,9/2,2/23,Credit Risk Data Scientist,8/8,4/16,Financial Planning and Analysis Analyst,2/6,2/15,4.34
109,George Mason University,1.6,Bachelors,Reading,F,0,0,0,2,Credit Loss Forecasting Analyst,9/6,12/11,Treasury Data Scientist,3/15,11/21,Capital Adequacy Modeler,4/21,10/22,6.37
110,University of East London,3.96,Bachelors,Rochester,N/A,N/A,0,N/A,1,Banking Fraud Investigator,1/7,7/20,Algorithm Developer,6/23,10/24,Customer Lifetime Value Analyst,5/17,4/22,0.08
111,Temple University,4.16,Masters,Southampton,F,N/A,1,1,4,Credit Portfolio Manager,3/22,N/A,Quantitative Model Validator,11/9,10/18,Public Finance Analyst,11/24,12/24,6
112,Indiana University,4.51,Masters,Philadelphia,F,0,1,0,1,Insurance Analyst,5/18,N/A,Actuarial Analyst,8/4,8/19,N/A,N/A,N/A,2.66
113,University of Warwick,1.01,Phd,Boston,F,1,1,N/A,1,Financial Data Analyst,4/24,11/24,Market Microstructure Analyst,12/15,12/18,Forensic Accountant,1/18,8/22,9.56
114,University of Surrey,3.33,Bachelors,Lincoln,F,0,1,N/A,4,Stress Testing Modeler,12/3,8/14,Banking Technology Consultant,4/6,7/17,Regulatory Compliance Analyst,4/20,10/20,8.62
115,University of Bath,4.65,Masters,Portland,N/A,0,0,1,1,Financial Reporting Analyst,6/15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.8
116,University of Pennsylvania,4.24,Phd,Seattle,N/A,0,1,N/A,2,Credit Default Swap Analyst,3/22,12/24,N/A,N/A,N/A,N/A,N/A,N/A,0.86
117,University of East London,2.22,Masters,Worcester,M,0,0,1,4,Predictive Analytics Manager,12/16,8/24,Insurance Analyst,4/22,11/22,Tax Analyst,10/21,12/22,8.7
118,University of Central Lancashire,4.91,Masters,Cincinnati,F,N/A,0,N/A,3,Model Implementation Specialist,12/22,12/24,N/A,N/A,N/A,N/A,N/A,N/A,9.12
119,Newcastle University,4.74,Masters,Portsmouth,N/A,0,1,1,3,Machine Learning Model Validator,10/18,10/22,Regulatory Stress Testing Analyst,9/20,3/22,Model Implementation Specialist,6/12,2/21,4.03
120,City University of London,1.07,Bachelors,Greenwich,N/A,0,0,1,0,Client Relations Analyst,4/7,7/10,Revenue Analyst,1/16,8/22,Financial Econometrics Researcher,12/6,3/16,5.4
121,University of South Carolina Columbia,2.62,Masters,Plymouth,N/A,N/A,0,N/A,3,Fraud Detection Analyst,8/21,12/23,Investment Banking Analyst,1/20,11/23,N/A,N/A,N/A,7.61
122,Royal Holloway University of London,2.27,Masters,Cambridge,F,N/A,0,1,0,Commodity Analyst,2/21,12/22,Portfolio Optimization Analyst,4/4,6/18,Churn Prediction Specialist,10/13,8/20,5.99
123,University of California Berkeley,2.49,Phd,Houston,N/A,0,1,0,0,Fraud Detection Analyst,12/7,3/15,Credit Risk Data Scientist,10/15,12/24,Financial Forecasting Analyst,5/3,2/6,5.81
124,Mississippi State University,3.02,Bachelors,Kingston,F,0,0,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.62
125,Ohio State University,3.87,Masters,Birmingham,M,N/A,1,N/A,2,Marketing Data Scientist,3/13,1/19,Credit Analyst,5/21,7/23,N/A,N/A,N/A,8.06
126,University of Sheffield,3.02,Masters,Ames,M,0,1,N/A,0,Algorithmic Trading Developer,5/10,7/22,Environmental Social and Governance Analyst,3/7,6/22,Algorithmic Market Maker,10/24,11/24,4.89
127,SOAS University of London,4.25,Phd,Merced,M,1,0,0,1,Quantitative Trading Analyst,7/8,9/17,N/A,N/A,N/A,N/A,N/A,N/A,4.79
128,University of Wisconsin Milwaukee,0.39,Masters,Rochester,N/A,1,1,1,1,Asset Management Data Scientist,11/8,7/18,Capital Markets Data Scientist,12/2,8/24,Risk Analyst,11/17,11/20,3.57
129,Lehigh University,2.01,Masters,Wilmington,M,1,0,1,0,Financial Engineering Specialist,8/17,1/20,Quantitative Behavioral Finance Analyst,9/11,4/21,N/A,N/A,N/A,5.21
130,University of Chicago,2.93,Masters,Williamsburg,F,0,0,N/A,3,Banking Operations Data Scientist,1/20,2/22,Hedge Fund Quantitative Analyst,4/11,1/19,Hedge Fund Quantitative Analyst,1/17,4/23,8
131,Kansas State University,2.2,Masters,Newark,F,0,1,N/A,0,Retail Banking Analyst,3/7,N/A,Market Research Analyst,10/17,2/21,Forensic Accountant,2/17,4/18,8.26
132,Columbia University,0.37,Masters,Nottingham,F,0,1,0,2,Wealth Management Analyst,5/23,N/A,Financial Data Analyst,8/6,11/22,Financial Reporting Analyst,12/6,4/10,8.16
133,University of East London,1.38,Bachelors,Reading,F,N/A,1,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.57
134,Massachusetts Institute of Technology,3.47,Bachelors,Greenwich,N/A,0,1,0,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.59
135,Rush University,1.97,Bachelors,Lincoln,F,N/A,0,N/A,4,Pricing Analyst,2/9,3/18,Corporate Finance Analyst,4/9,9/21,Regulatory Stress Testing Analyst,1/2,9/7,8.89
136,The University of Tennessee Knoxville,2.18,Bachelors,Cincinnati,F,0,1,N/A,1,Credit Analyst,5/9,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.23
137,University of South Carolina Columbia,0.01,Phd,Chicago,M,N/A,0,0,3,Credit Loss Forecasting Analyst,4/23,10/23,Liquidity Risk Analyst,10/13,3/14,Algorithmic Investment Analyst,8/24,11/24,0.35
138,University at Buffalo,3.04,Bachelors,Tulsa,M,N/A,1,0,2,Derivatives Analyst,1/4,11/8,Retail Banking Analyst,8/22,3/24,Banking Analytics Consultant,12/5,3/11,1.07
139,Northwestern University,1.05,Phd,New Brunswick,M,1,1,1,4,Customer Experience Analyst,5/21,7/24,Insurance Analyst,2/20,6/22,Treasury Analyst,12/8,8/21,9.19
140,University of Denver,0.19,Phd,Fairbanks,F,1,0,0,3,Mutual Fund Analyst,1/6,7/21,Treasury Data Scientist,7/2,11/7,Financial Controller,6/8,5/22,1.93
141,American University,1.52,Bachelors,Uxbridge,N/A,1,1,N/A,2,Actuarial Analyst,3/8,11/11,Machine Learning Model Validator,1/10,4/10,Treasury Analyst,5/7,8/18,3.04
142,Imperial College London,2.51,Masters,Egham,M,0,0,N/A,0,Basel II Analyst,1/12,5/16,Equity Derivatives Analyst,7/19,4/24,Budget Analyst,3/13,11/21,7.98
143,University of Dundee,0.46,Masters,Egham,F,1,1,0,4,Counterparty Credit Risk Analyst,11/13,N/A,Market Research Analyst,1/16,3/17,Operational Risk Modeling Analyst,7/15,10/19,9.1
144,University of Alabama at Birmingham,4.83,Masters,Loughborough,N/A,1,0,N/A,0,Customer Segmentation Specialist,12/8,5/10,Regulatory Reporting Data Scientist,9/6,9/11,Operational Risk Analyst,4/10,11/13,2.12
145,University of Hertfordshire,3.49,Bachelors,Fairfax,F,1,0,1,2,Alternative Data Researcher,1/16,12/17,Derivatives Pricing Analyst,5/18,9/19,N/A,N/A,N/A,6.37
146,Washington University in St Louis,2.36,Phd,Kensington,N/A,N/A,1,N/A,0,Financial Market Data Scientist,7/23,11/24,Business Development Analyst,9/6,6/10,Algorithm Validation Engineer,8/13,7/18,6.32
